level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2650	4762	-1	
2	1	1	0	0	0	1604	25	1021	85	-1	
3	1	1	1	0	0	1604	25	1021	85	-1	
4	1	1	1	1	0	1604	25	1021	85	-1	
5	1	1	1	1	1	1604	28	439	82	96	Negotiating
5	1	1	1	1	2	2072	25	342	63	80	Channels
5	1	1	1	1	3	2500	28	125	59	80	477
2	1	2	0	0	0	251	276	238	62	-1	
3	1	2	1	0	0	251	276	238	62	-1	
4	1	2	1	1	0	251	276	238	62	-1	
5	1	2	1	1	1	251	276	143	62	95	Tab
5	1	2	1	1	2	426	278	63	59	96	A
2	1	3	0	0	0	252	468	494	90	-1	
3	1	3	1	0	0	252	468	494	90	-1	
4	1	3	1	1	0	252	468	494	90	-1	
5	1	3	1	1	1	252	479	171	79	95	Map
5	1	3	1	1	2	456	475	76	63	92	of
5	1	3	1	1	3	562	468	184	70	87	Iran°
2	1	4	0	0	0	336	625	1984	1977	-1	
3	1	4	1	0	0	336	625	1984	1977	-1	
4	1	4	1	1	0	336	625	1984	1977	-1	
5	1	4	1	1	1	336	625	1984	1977	95	 
2	1	5	0	0	0	175	4681	231	57	-1	
3	1	5	1	0	0	175	4681	231	57	-1	
4	1	5	1	1	0	175	4681	231	57	-1	
5	1	5	1	1	1	175	4681	23	33	80	>
5	1	5	1	1	2	217	4688	189	50	95	Secret.
