level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3218	344	-1	
2	1	1	0	0	0	25	38	3168	133	-1	
3	1	1	1	0	0	25	38	3168	133	-1	
4	1	1	1	1	0	25	38	3168	133	-1	
5	1	1	1	1	1	25	38	47	74	85	2
5	1	1	1	1	2	72	62	425	109	96	Foreign
5	1	1	1	1	3	533	55	467	89	92	Relations
5	1	1	1	1	4	1040	126	19	32	92	,
5	1	1	1	1	5	1110	54	263	101	91	1901,
5	1	1	1	1	6	1416	46	452	116	91	appendix
5	1	1	1	1	7	1907	42	383	115	96	(Affairs
5	1	1	1	1	8	2328	45	92	83	96	in
5	1	1	1	1	9	2458	38	485	112	71	China),
5	1	1	1	1	10	2841	34	130	141	71	p.
5	1	1	1	1	11	2987	38	206	85	92	312.
2	1	2	0	0	0	26	199	2040	130	-1	
3	1	2	1	0	0	26	199	2040	130	-1	
4	1	2	1	1	0	26	199	2040	130	-1	
5	1	2	1	1	1	26	199	94	76	96	10
5	1	2	1	1	2	151	220	393	109	96	Foreign
5	1	2	1	1	3	581	213	496	102	96	Relations,
5	1	2	1	1	4	1126	212	263	101	92	1924,
5	1	2	1	1	5	1429	205	637	113	28	vol..,_p.371.
2	1	3	0	0	0	120	309	293	15	-1	
3	1	3	1	0	0	120	309	293	15	-1	
4	1	3	1	1	0	120	309	293	15	-1	
5	1	3	1	1	1	120	309	293	15	95	 
