level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2662	4140	-1	
2	1	1	0	0	0	1192	26	1439	61	-1	
3	1	1	1	0	0	1192	26	1439	61	-1	
4	1	1	1	1	0	1192	26	1439	61	-1	
5	1	1	1	1	1	1192	28	201	59	95	Arms
5	1	1	1	1	2	1420	26	277	61	95	Control
5	1	1	1	1	3	1723	26	134	61	96	and
5	1	1	1	1	4	1885	28	499	59	94	Disarmament
5	1	1	1	1	5	2474	29	157	58	94	1225
2	1	2	0	0	0	200	252	325	59	-1	
3	1	2	1	0	0	200	252	325	59	-1	
4	1	2	1	1	0	200	252	325	59	-1	
5	1	2	1	1	1	200	253	245	58	92	Annex
5	1	2	1	1	2	472	252	53	59	92	C
2	1	3	0	0	0	590	1427	1810	2161	-1	
3	1	3	1	0	0	590	1427	1810	2161	-1	
4	1	3	1	1	0	590	1427	1810	2161	-1	
5	1	3	1	1	1	590	1427	1810	2161	95	 
